aero_motif_idx,eeg_motif_idx,spectral_dist,dtw_dist,wasserstein_dist
13,17,0.0,0.0,6.636954114691563e-06
13,18,0.0,0.0,4.524402852101873e-06
14,0,0.40216567008953835,2.6794710600388987,0.26794959930270273
14,1,0.07471196387777704,0.6544006378818866,0.06543258446051994
14,2,0.0,0.10480743735499887,0.010479316123310102
14,3,0.0,0.0,2.7938291211837552e-06
14,4,0.0,0.0,2.5401076557907137e-06
14,5,0.0,0.0,7.1186919496479815e-06
14,6,0.0,0.0,5.9613512960243765e-06
14,7,0.0,0.0,2.0553112432764032e-06
14,8,0.0,0.0,5.647076878245726e-06
14,9,0.0,0.0,3.5874329438190244e-06
14,10,0.0,0.0,4.111174260823524e-06
14,11,0.0,0.0,5.3090057902216435e-06
14,12,0.0,0.0,1.3684232967148268e-05
14,13,0.0,0.0,1.53206498978431e-06
14,14,0.0,0.0,2.704409834364263e-06
14,15,0.0,0.0,3.0580217607378834e-06
14,16,0.0,0.0,4.355981447645706e-06
14,17,0.0,0.0,6.490190065322476e-06
14,18,0.0,0.0,9.02077752701347e-06
15,0,0.40216567008953835,2.6794710600388987,0.26794282056553353
15,1,0.07471196387777704,0.6544006378818866,0.06543628745733887
15,2,0.0,0.10480743735499887,0.010482541195648598
15,3,0.0,0.0,4.56303023843585e-06
15,4,0.0,0.0,2.9302470890946173e-06
15,5,0.0,0.0,5.433112173136579e-06
15,6,0.0,0.0,5.2700587284570945e-06
15,7,0.0,0.0,7.643319701933214e-06
15,8,0.0,0.0,2.135092430499697e-06
15,9,0.0,0.0,6.416613028437101e-06
15,10,0.0,0.0,7.226412863958754e-06
15,11,0.0,0.0,5.826531044461624e-06
15,12,0.0,0.0,5.551901835298967e-06
15,13,0.0,0.0,5.459936080121075e-06
15,14,0.0,0.0,2.9639121537750056e-06
15,15,0.0,0.0,5.5864806453587165e-06
15,16,0.0,0.0,5.548031589719393e-06
15,17,0.0,0.0,9.788811832056599e-06
15,18,0.0,0.0,4.446607837027549e-06
16,0,0.40216567008953835,2.6794710600388987,0.2679509871115171
16,1,0.07471196387777704,0.6544006378818866,0.06543324408716764
16,2,0.0,0.10480743735499887,0.01048165759916987
16,3,0.0,0.0,3.017911345504221e-06
16,4,0.0,0.0,3.7755965293650995e-06
16,5,0.0,0.0,7.500397163662242e-06
16,6,0.0,0.0,5.205050282741652e-06
16,7,0.0,0.0,4.851649278614367e-06
16,8,0.0,0.0,8.961761697978687e-06
16,9,0.0,0.0,4.128616652399053e-06
16,10,0.0,0.0,4.915076412481678e-06
16,11,0.0,0.0,5.486303443924533e-06
16,12,0.0,0.0,1.0940795177327711e-05
16,13,0.0,0.0,6.7079256392377225e-06
16,14,0.0,0.0,2.174080124017763e-06
16,15,0.0,0.0,3.951186125028538e-06
16,16,0.0,0.0,5.192217354443862e-06
16,17,0.0,0.0,9.497556190851687e-06
16,18,0.0,0.0,7.3750521113136185e-06
17,0,0.40216567008953835,2.6794710600388987,0.2679428602146648
17,1,0.07471196387777704,0.6544006378818866,0.06544001705028848
17,2,0.0,0.10480743735499887,0.010485375619225834
17,3,0.0,0.0,6.010706110892718e-06
17,4,0.0,0.0,5.058485713782534e-06
17,5,0.0,0.0,4.946142127448816e-06
17,6,0.0,0.0,6.173556514488255e-06
17,7,0.0,0.0,5.294845292524996e-06
17,8,0.0,0.0,2.4990850139294807e-06
17,9,0.0,0.0,1.9838125157822795e-06
17,10,0.0,0.0,4.8514880730987635e-06
17,11,0.0,0.0,5.609145196483478e-06
17,12,0.0,0.0,6.455396416515936e-06
17,13,0.0,0.0,5.254944394672556e-06
17,14,0.0,0.0,6.122998511071121e-06
17,15,0.0,0.0,2.7758123329335582e-06
17,16,0.0,0.0,5.503582417365481e-06
17,17,0.0,0.0,2.1918679479204783e-06
17,18,0.0,0.0,3.497015613362908e-06
18,0,0.40216567008953835,2.6794710600388987,0.26795203388206235
18,1,0.07471196387777704,0.6544006378818866,0.06543837406679477
18,2,0.0,0.10480743735499887,0.010473682438218179
18,3,0.0,0.0,2.645208842810831e-06
18,4,0.0,0.0,3.3232993342680037e-06
18,5,0.0,0.0,5.076344797561028e-06
18,6,0.0,0.0,9.315685297028863e-06
18,7,0.0,0.0,1.9457229507247043e-06
18,8,0.0,0.0,6.566254811113392e-06
18,9,0.0,0.0,2.7154487689418085e-06
